;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x02B0	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,244 :: 		
0x02B1	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,245 :: 		
0x02B2	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,246 :: 		
0x02B3	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,247 :: 		
0x02B4	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,248 :: 		
0x02B5	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,249 :: 		
0x02B6	0x2AA1      	GOTO       $-21
;__Lib_Math.c,251 :: 		
L_end_Div_16X16_U:
0x02B7	0x0008      	RETURN
; end of _Div_16X16_U
_ReadData:
;MyProject.c,331 :: 		char ReadData() {
;MyProject.c,333 :: 		for (j = 0; j < 8; j++) {
0x02B8	0x1683      	BSF        STATUS, 5
0x02B9	0x1303      	BCF        STATUS, 6
0x02BA	0x01C9      	CLRF       ReadData_j_L0
L_ReadData35:
0x02BB	0x3008      	MOVLW      8
0x02BC	0x0249      	SUBWF      ReadData_j_L0, 0
0x02BD	0x1803      	BTFSC      STATUS, 0
0x02BE	0x2B0B      	GOTO       L_ReadData36
;MyProject.c,334 :: 		while (IS_BIT1_LOW(PORTD));
L_ReadData38:
0x02BF	0x3002      	MOVLW      2
0x02C0	0x1283      	BCF        STATUS, 5
0x02C1	0x0508      	ANDWF      PORTD, 0
0x02C2	0x00F0      	MOVWF      R0
0x02C3	0x3000      	MOVLW      0
0x02C4	0x3900      	ANDLW      0
0x02C5	0x00F1      	MOVWF      R0+1
0x02C6	0x09F0      	COMF       R0, 1
0x02C7	0x09F1      	COMF       R0+1, 1
0x02C8	0x0870      	MOVF       R0, 0
0x02C9	0x0471      	IORWF      R0+1, 0
0x02CA	0x1903      	BTFSC      STATUS, 2
0x02CB	0x2ACD      	GOTO       L_ReadData39
0x02CC	0x2ABF      	GOTO       L_ReadData38
L_ReadData39:
;MyProject.c,335 :: 		mydelayus(30);
0x02CD	0x301E      	MOVLW      30
0x02CE	0x1683      	BSF        STATUS, 5
0x02CF	0x00CC      	MOVWF      FARG_mydelayus_count
0x02D0	0x3000      	MOVLW      0
0x02D1	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x02D2	0x212A      	CALL       _mydelayus
;MyProject.c,336 :: 		if (IS_BIT1_LOW(PORTD))
0x02D3	0x3002      	MOVLW      2
0x02D4	0x0508      	ANDWF      PORTD, 0
0x02D5	0x00F0      	MOVWF      R0
0x02D6	0x3000      	MOVLW      0
0x02D7	0x3900      	ANDLW      0
0x02D8	0x00F1      	MOVWF      R0+1
0x02D9	0x09F0      	COMF       R0, 1
0x02DA	0x09F1      	COMF       R0+1, 1
0x02DB	0x0870      	MOVF       R0, 0
0x02DC	0x0471      	IORWF      R0+1, 0
0x02DD	0x1903      	BTFSC      STATUS, 2
0x02DE	0x2AF3      	GOTO       L_ReadData40
;MyProject.c,337 :: 		i &= ~(1 << (7 - j));
0x02DF	0x1683      	BSF        STATUS, 5
0x02E0	0x0849      	MOVF       ReadData_j_L0, 0
0x02E1	0x3C07      	SUBLW      7
0x02E2	0x00F0      	MOVWF      R0
0x02E3	0x0870      	MOVF       R0, 0
0x02E4	0x00F1      	MOVWF      R1
0x02E5	0x3001      	MOVLW      1
0x02E6	0x00F0      	MOVWF      R0
0x02E7	0x0871      	MOVF       R1, 0
L__ReadData82:
0x02E8	0x1903      	BTFSC      STATUS, 2
0x02E9	0x2AEE      	GOTO       L__ReadData83
0x02EA	0x0DF0      	RLF        R0, 1
0x02EB	0x1070      	BCF        R0, 0
0x02EC	0x3EFF      	ADDLW      255
0x02ED	0x2AE8      	GOTO       L__ReadData82
L__ReadData83:
0x02EE	0x1683      	BSF        STATUS, 5
0x02EF	0x09F0      	COMF       R0, 1
0x02F0	0x0870      	MOVF       R0, 0
0x02F1	0x05C8      	ANDWF      ReadData_i_L0, 1
0x02F2	0x2B08      	GOTO       L_ReadData41
L_ReadData40:
0x02F3	0x1683      	BSF        STATUS, 5
;MyProject.c,339 :: 		i |= (1 << (7 - j));
0x02F4	0x0849      	MOVF       ReadData_j_L0, 0
0x02F5	0x3C07      	SUBLW      7
0x02F6	0x00F0      	MOVWF      R0
0x02F7	0x0870      	MOVF       R0, 0
0x02F8	0x00F1      	MOVWF      R1
0x02F9	0x3001      	MOVLW      1
0x02FA	0x00F0      	MOVWF      R0
0x02FB	0x0871      	MOVF       R1, 0
L__ReadData84:
0x02FC	0x1903      	BTFSC      STATUS, 2
0x02FD	0x2B02      	GOTO       L__ReadData85
0x02FE	0x0DF0      	RLF        R0, 1
0x02FF	0x1070      	BCF        R0, 0
0x0300	0x3EFF      	ADDLW      255
0x0301	0x2AFC      	GOTO       L__ReadData84
L__ReadData85:
0x0302	0x0870      	MOVF       R0, 0
0x0303	0x04C8      	IORWF      ReadData_i_L0, 1
;MyProject.c,340 :: 		while (IS_BIT1_HIGH(PORTD));
L_ReadData42:
0x0304	0x1283      	BCF        STATUS, 5
0x0305	0x1C88      	BTFSS      PORTD, 1
0x0306	0x2B08      	GOTO       L_ReadData43
0x0307	0x2B04      	GOTO       L_ReadData42
L_ReadData43:
;MyProject.c,341 :: 		}
L_ReadData41:
;MyProject.c,333 :: 		for (j = 0; j < 8; j++) {
0x0308	0x1683      	BSF        STATUS, 5
0x0309	0x0AC9      	INCF       ReadData_j_L0, 1
;MyProject.c,342 :: 		}
0x030A	0x2ABB      	GOTO       L_ReadData35
L_ReadData36:
;MyProject.c,343 :: 		return i;
0x030B	0x0848      	MOVF       ReadData_i_L0, 0
0x030C	0x00F0      	MOVWF      R0
;MyProject.c,344 :: 		}
L_end_ReadData:
0x030D	0x0008      	RETURN
; end of _ReadData
_ATD_init:
;MyProject.c,126 :: 		void ATD_init(void) {
;MyProject.c,127 :: 		ADCON0 = 0x41;           // ON, Channel 0, Fosc/16== 500KHz, Dont Go
0x030E	0x3041      	MOVLW      65
0x030F	0x1283      	BCF        STATUS, 5
0x0310	0x1303      	BCF        STATUS, 6
0x0311	0x009F      	MOVWF      ADCON0
;MyProject.c,128 :: 		ADCON1 = 0xC4;           // RA0 Analog, others are Digital, Right Allignment,
0x0312	0x30C4      	MOVLW      196
0x0313	0x1683      	BSF        STATUS, 5
0x0314	0x009F      	MOVWF      ADCON1
;MyProject.c,129 :: 		TRISA = 0x01;
0x0315	0x3001      	MOVLW      1
0x0316	0x0085      	MOVWF      TRISA
;MyProject.c,130 :: 		}
L_end_ATD_init:
0x0317	0x0008      	RETURN
; end of _ATD_init
_CheckResponse:
;MyProject.c,322 :: 		void CheckResponse() {
;MyProject.c,323 :: 		Check = 0;
0x0318	0x1283      	BCF        STATUS, 5
0x0319	0x1303      	BCF        STATUS, 6
0x031A	0x01EB      	CLRF       _Check
;MyProject.c,324 :: 		mydelayus(40);
0x031B	0x3028      	MOVLW      40
0x031C	0x1683      	BSF        STATUS, 5
0x031D	0x00CC      	MOVWF      FARG_mydelayus_count
0x031E	0x3000      	MOVLW      0
0x031F	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x0320	0x212A      	CALL       _mydelayus
;MyProject.c,325 :: 		if (IS_BIT1_LOW(PORTD)) {
0x0321	0x3002      	MOVLW      2
0x0322	0x0508      	ANDWF      PORTD, 0
0x0323	0x00F0      	MOVWF      R0
0x0324	0x3000      	MOVLW      0
0x0325	0x3900      	ANDLW      0
0x0326	0x00F1      	MOVWF      R0+1
0x0327	0x09F0      	COMF       R0, 1
0x0328	0x09F1      	COMF       R0+1, 1
0x0329	0x0870      	MOVF       R0, 0
0x032A	0x0471      	IORWF      R0+1, 0
0x032B	0x1903      	BTFSC      STATUS, 2
0x032C	0x2B3D      	GOTO       L_CheckResponse33
;MyProject.c,326 :: 		mydelayus(80);
0x032D	0x3050      	MOVLW      80
0x032E	0x1683      	BSF        STATUS, 5
0x032F	0x00CC      	MOVWF      FARG_mydelayus_count
0x0330	0x3000      	MOVLW      0
0x0331	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x0332	0x212A      	CALL       _mydelayus
;MyProject.c,327 :: 		if (IS_BIT1_HIGH(PORTD)) Check = 1; mydelayus(40);
0x0333	0x1C88      	BTFSS      PORTD, 1
0x0334	0x2B37      	GOTO       L_CheckResponse34
0x0335	0x3001      	MOVLW      1
0x0336	0x00EB      	MOVWF      _Check
L_CheckResponse34:
0x0337	0x3028      	MOVLW      40
0x0338	0x1683      	BSF        STATUS, 5
0x0339	0x00CC      	MOVWF      FARG_mydelayus_count
0x033A	0x3000      	MOVLW      0
0x033B	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x033C	0x212A      	CALL       _mydelayus
;MyProject.c,328 :: 		}
L_CheckResponse33:
;MyProject.c,329 :: 		}
L_end_CheckResponse:
0x033D	0x0008      	RETURN
; end of _CheckResponse
_StartSignal:
;MyProject.c,313 :: 		void StartSignal() {
;MyProject.c,314 :: 		SET_BIT1_LOW(TRISD);
0x033E	0x1683      	BSF        STATUS, 5
0x033F	0x1303      	BCF        STATUS, 6
0x0340	0x1088      	BCF        TRISD, 1
;MyProject.c,315 :: 		SET_BIT1_LOW(PORTD);
0x0341	0x1283      	BCF        STATUS, 5
0x0342	0x1088      	BCF        PORTD, 1
;MyProject.c,316 :: 		mydelayms(18);
0x0343	0x3012      	MOVLW      18
0x0344	0x1683      	BSF        STATUS, 5
0x0345	0x00CC      	MOVWF      FARG_mydelayms_count
0x0346	0x3000      	MOVLW      0
0x0347	0x00CD      	MOVWF      FARG_mydelayms_count+1
0x0348	0x2105      	CALL       _mydelayms
;MyProject.c,317 :: 		SET_BIT1_HIGH(PORTD);
0x0349	0x1488      	BSF        PORTD, 1
;MyProject.c,318 :: 		mydelayus(30);
0x034A	0x301E      	MOVLW      30
0x034B	0x1683      	BSF        STATUS, 5
0x034C	0x00CC      	MOVWF      FARG_mydelayus_count
0x034D	0x3000      	MOVLW      0
0x034E	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x034F	0x212A      	CALL       _mydelayus
;MyProject.c,319 :: 		SET_BIT1_HIGH(TRISD);
0x0350	0x1683      	BSF        STATUS, 5
0x0351	0x1488      	BSF        TRISD, 1
;MyProject.c,320 :: 		}
L_end_StartSignal:
0x0352	0x0008      	RETURN
; end of _StartSignal
_double2int:
;__Lib_MathDouble.c,1391 :: 		
;__Lib_MathDouble.c,1399 :: 		
0x0353	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1400 :: 		
0x0354	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1402 :: 		
0x0355	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1403 :: 		
0x0356	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1404 :: 		
0x0357	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1405 :: 		
0x0358	0x2B90      	GOTO       IRES016
;__Lib_MathDouble.c,1407 :: 		
0x0359	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1408 :: 		
0x035A	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,1409 :: 		
0x035B	0x17F2      	BSF        R2, 7
;__Lib_MathDouble.c,1411 :: 		
0x035C	0x308E      	MOVLW      142
;__Lib_MathDouble.c,1412 :: 		
0x035D	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,1413 :: 		
0x035E	0x1FF3      	BTFSS      R3, 7
;__Lib_MathDouble.c,1414 :: 		
0x035F	0x2B93      	GOTO       SETIOV16
;__Lib_MathDouble.c,1415 :: 		
0x0360	0x09F3      	COMF       R3, 1
;__Lib_MathDouble.c,1416 :: 		
0x0361	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,1418 :: 		
0x0362	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1419 :: 		
0x0363	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1420 :: 		
0x0364	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1421 :: 		
0x0365	0x2B76      	GOTO       TSHIFT3216
;__Lib_MathDouble.c,1422 :: 		
0x0366	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1423 :: 		
0x0367	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,1424 :: 		
0x0368	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1425 :: 		
0x0369	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1426 :: 		
0x036A	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1428 :: 		
0x036B	0x3008      	MOVLW      8
;__Lib_MathDouble.c,1429 :: 		
0x036C	0x0273      	SUBWF      R3, 0
;__Lib_MathDouble.c,1430 :: 		
0x036D	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1431 :: 		
0x036E	0x2B76      	GOTO       TSHIFT3216
;__Lib_MathDouble.c,1432 :: 		
0x036F	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1433 :: 		
0x0370	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,1434 :: 		
0x0371	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1436 :: 		
0x0372	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1437 :: 		
0x0373	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,1438 :: 		
0x0374	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1439 :: 		
0x0375	0x2B7E      	GOTO       SHIFT3216OK
;__Lib_MathDouble.c,1440 :: 		
TSHIFT3216:
;__Lib_MathDouble.c,1441 :: 		
0x0376	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,1442 :: 		
0x0377	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1443 :: 		
0x0378	0x2B7E      	GOTO       SHIFT3216OK
;__Lib_MathDouble.c,1444 :: 		
SHIFT3216:
;__Lib_MathDouble.c,1445 :: 		
0x0379	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,1446 :: 		
0x037A	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1447 :: 		
0x037B	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,1448 :: 		
0x037C	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,1449 :: 		
0x037D	0x2B79      	GOTO       SHIFT3216
;__Lib_MathDouble.c,1450 :: 		
SHIFT3216OK:
;__Lib_MathDouble.c,1451 :: 		
0x037E	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,1452 :: 		
0x037F	0x1C71      	BTFSS      R1, 0
;__Lib_MathDouble.c,1453 :: 		
0x0380	0x2B88      	GOTO       INT3216OK
;__Lib_MathDouble.c,1454 :: 		
0x0381	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,1455 :: 		
0x0382	0x2B88      	GOTO       INT3216OK
;__Lib_MathDouble.c,1456 :: 		
0x0383	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,1457 :: 		
0x0384	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1458 :: 		
0x0385	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,1459 :: 		
0x0386	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,1460 :: 		
0x0387	0x2B9F      	GOTO       JPJSETIOV3224
;__Lib_MathDouble.c,1461 :: 		
INT3216OK:
;__Lib_MathDouble.c,1462 :: 		
0x0388	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1463 :: 		
0x0389	0x2BA2      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1465 :: 		
0x038A	0x09F2      	COMF       R2, 1
;__Lib_MathDouble.c,1466 :: 		
0x038B	0x09F1      	COMF       R1, 1
;__Lib_MathDouble.c,1467 :: 		
0x038C	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,1468 :: 		
0x038D	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1469 :: 		
0x038E	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,1470 :: 		
0x038F	0x2BA2      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1472 :: 		
IRES016:
;__Lib_MathDouble.c,1473 :: 		
0x0390	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1474 :: 		
0x0391	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1475 :: 		
0x0392	0x2BA2      	GOTO       INT3216EOK
;__Lib_MathDouble.c,1476 :: 		
SETIOV16:
;__Lib_MathDouble.c,1477 :: 		
0x0393	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1478 :: 		
0x0394	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1479 :: 		
0x0395	0x2BA5      	GOTO       INT3216EER
;__Lib_MathDouble.c,1481 :: 		
0x0396	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1482 :: 		
0x0397	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1483 :: 		
0x0398	0x2BA5      	GOTO       INT3216EER
;__Lib_MathDouble.c,1484 :: 		
0x0399	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1485 :: 		
0x039A	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1486 :: 		
0x039B	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1487 :: 		
0x039C	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,1488 :: 		
0x039D	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1489 :: 		
0x039E	0x2BA5      	GOTO       INT3216EER
;__Lib_MathDouble.c,1491 :: 		
JPJSETIOV3224:
;__Lib_MathDouble.c,1492 :: 		
0x039F	0x3001      	MOVLW      1
;__Lib_MathDouble.c,1493 :: 		
0x03A0	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1494 :: 		
0x03A1	0x2BA7      	GOTO       INT3216EEE
;__Lib_MathDouble.c,1495 :: 		
INT3216EOK:
;__Lib_MathDouble.c,1496 :: 		
0x03A2	0x3000      	MOVLW      0
;__Lib_MathDouble.c,1497 :: 		
0x03A3	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1498 :: 		
0x03A4	0x2BA7      	GOTO       INT3216EEE
;__Lib_MathDouble.c,1499 :: 		
INT3216EER:
;__Lib_MathDouble.c,1500 :: 		
0x03A5	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1501 :: 		
0x03A6	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,1502 :: 		
INT3216EEE:
;__Lib_MathDouble.c,1505 :: 		
0x03A7	0x08FC      	MOVF       R12, 1
;__Lib_MathDouble.c,1507 :: 		
0x03A8	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1508 :: 		
0x03A9	0x2BAB      	GOTO       L_Double2Int_0
;__Lib_MathDouble.c,1510 :: 		
0x03AA	0x2145      	CALL       _SETIOV3224
;__Lib_MathDouble.c,1512 :: 		
L_Double2Int_0:
;__Lib_MathDouble.c,1513 :: 		
0x03AB	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1514 :: 		
0x03AC	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1515 :: 		
0x03AD	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,1516 :: 		
0x03AE	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1520 :: 		
L_end_double2int:
0x03AF	0x0008      	RETURN
; end of _double2int
_direction:
;MyProject.c,163 :: 		void direction(char dir)
;MyProject.c,165 :: 		if (dir == 4)
0x03B0	0x1683      	BSF        STATUS, 5
0x03B1	0x1303      	BCF        STATUS, 6
0x03B2	0x0848      	MOVF       FARG_direction_dir, 0
0x03B3	0x3A04      	XORLW      4
0x03B4	0x1D03      	BTFSS      STATUS, 2
0x03B5	0x2BBA      	GOTO       L_direction11
;MyProject.c,167 :: 		MotorSpeed(0);
0x03B6	0x01CC      	CLRF       FARG_MotorSpeed_speed
0x03B7	0x01CD      	CLRF       FARG_MotorSpeed_speed+1
0x03B8	0x211B      	CALL       _MotorSpeed
;MyProject.c,168 :: 		return;
0x03B9	0x2BEA      	GOTO       L_end_direction
;MyProject.c,169 :: 		}
L_direction11:
;MyProject.c,170 :: 		else if (dir == 0)
0x03BA	0x1683      	BSF        STATUS, 5
0x03BB	0x0848      	MOVF       FARG_direction_dir, 0
0x03BC	0x3A00      	XORLW      0
0x03BD	0x1D03      	BTFSS      STATUS, 2
0x03BE	0x2BC5      	GOTO       L_direction13
;MyProject.c,173 :: 		SET_BIT1_LOW(PORTB);
0x03BF	0x1283      	BCF        STATUS, 5
0x03C0	0x1086      	BCF        PORTB, 1
;MyProject.c,174 :: 		SET_BIT2_HIGH(PORTB);
0x03C1	0x1506      	BSF        PORTB, 2
;MyProject.c,175 :: 		SET_BIT3_HIGH(PORTB);
0x03C2	0x1586      	BSF        PORTB, 3
;MyProject.c,176 :: 		SET_BIT4_LOW(PORTB);
0x03C3	0x1206      	BCF        PORTB, 4
;MyProject.c,178 :: 		}
0x03C4	0x2BE5      	GOTO       L_direction14
L_direction13:
;MyProject.c,179 :: 		else if (dir == 1)
0x03C5	0x1683      	BSF        STATUS, 5
0x03C6	0x0848      	MOVF       FARG_direction_dir, 0
0x03C7	0x3A01      	XORLW      1
0x03C8	0x1D03      	BTFSS      STATUS, 2
0x03C9	0x2BD0      	GOTO       L_direction15
;MyProject.c,181 :: 		SET_BIT1_HIGH(PORTB);
0x03CA	0x1283      	BCF        STATUS, 5
0x03CB	0x1486      	BSF        PORTB, 1
;MyProject.c,182 :: 		SET_BIT2_LOW(PORTB);
0x03CC	0x1106      	BCF        PORTB, 2
;MyProject.c,183 :: 		SET_BIT3_LOW(PORTB);
0x03CD	0x1186      	BCF        PORTB, 3
;MyProject.c,184 :: 		SET_BIT4_HIGH(PORTB);
0x03CE	0x1606      	BSF        PORTB, 4
;MyProject.c,186 :: 		}
0x03CF	0x2BE5      	GOTO       L_direction16
L_direction15:
;MyProject.c,187 :: 		else if (dir == 2)
0x03D0	0x1683      	BSF        STATUS, 5
0x03D1	0x0848      	MOVF       FARG_direction_dir, 0
0x03D2	0x3A02      	XORLW      2
0x03D3	0x1D03      	BTFSS      STATUS, 2
0x03D4	0x2BDB      	GOTO       L_direction17
;MyProject.c,189 :: 		SET_BIT1_HIGH(PORTB);
0x03D5	0x1283      	BCF        STATUS, 5
0x03D6	0x1486      	BSF        PORTB, 1
;MyProject.c,190 :: 		SET_BIT2_LOW(PORTB);
0x03D7	0x1106      	BCF        PORTB, 2
;MyProject.c,191 :: 		SET_BIT3_HIGH(PORTB);
0x03D8	0x1586      	BSF        PORTB, 3
;MyProject.c,192 :: 		SET_BIT4_LOW(PORTB);
0x03D9	0x1206      	BCF        PORTB, 4
;MyProject.c,194 :: 		}
0x03DA	0x2BE5      	GOTO       L_direction18
L_direction17:
;MyProject.c,195 :: 		else if (dir == 3)
0x03DB	0x1683      	BSF        STATUS, 5
0x03DC	0x0848      	MOVF       FARG_direction_dir, 0
0x03DD	0x3A03      	XORLW      3
0x03DE	0x1D03      	BTFSS      STATUS, 2
0x03DF	0x2BE5      	GOTO       L_direction19
;MyProject.c,197 :: 		SET_BIT1_LOW(PORTB);
0x03E0	0x1283      	BCF        STATUS, 5
0x03E1	0x1086      	BCF        PORTB, 1
;MyProject.c,198 :: 		SET_BIT2_HIGH(PORTB);
0x03E2	0x1506      	BSF        PORTB, 2
;MyProject.c,199 :: 		SET_BIT3_LOW(PORTB);
0x03E3	0x1186      	BCF        PORTB, 3
;MyProject.c,200 :: 		SET_BIT4_HIGH(PORTB);
0x03E4	0x1606      	BSF        PORTB, 4
;MyProject.c,202 :: 		}
L_direction19:
L_direction18:
L_direction16:
L_direction14:
;MyProject.c,203 :: 		MotorSpeed(200);
0x03E5	0x30C8      	MOVLW      200
0x03E6	0x1683      	BSF        STATUS, 5
0x03E7	0x00CC      	MOVWF      FARG_MotorSpeed_speed
0x03E8	0x01CD      	CLRF       FARG_MotorSpeed_speed+1
0x03E9	0x211B      	CALL       _MotorSpeed
;MyProject.c,204 :: 		}
L_end_direction:
0x03EA	0x0008      	RETURN
; end of _direction
_Lcd_Chr:
;__Lib_Lcd.c,65 :: 		
;__Lib_Lcd.c,66 :: 		
0x03EB	0x2BFD      	GOTO       L_Lcd_Chr4
;__Lib_Lcd.c,67 :: 		
L_Lcd_Chr6:
0x03EC	0x3080      	MOVLW      128
0x03ED	0x1683      	BSF        STATUS, 5
0x03EE	0x1303      	BCF        STATUS, 6
0x03EF	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x03F0	0x2C10      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,68 :: 		
L_Lcd_Chr7:
0x03F1	0x30C0      	MOVLW      192
0x03F2	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x03F3	0x2C10      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,69 :: 		
L_Lcd_Chr8:
0x03F4	0x3094      	MOVLW      148
0x03F5	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x03F6	0x2C10      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,70 :: 		
L_Lcd_Chr9:
0x03F7	0x30D4      	MOVLW      212
0x03F8	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x03F9	0x2C10      	GOTO       L_Lcd_Chr5
;__Lib_Lcd.c,71 :: 		
L_Lcd_Chr10:
0x03FA	0x3080      	MOVLW      128
0x03FB	0x00C8      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,72 :: 		
0x03FC	0x2C10      	GOTO       L_Lcd_Chr5
L_Lcd_Chr4:
0x03FD	0x1683      	BSF        STATUS, 5
0x03FE	0x1303      	BCF        STATUS, 6
0x03FF	0x0848      	MOVF       FARG_Lcd_Chr_row, 0
0x0400	0x3A01      	XORLW      1
0x0401	0x1903      	BTFSC      STATUS, 2
0x0402	0x2BEC      	GOTO       L_Lcd_Chr6
0x0403	0x0848      	MOVF       FARG_Lcd_Chr_row, 0
0x0404	0x3A02      	XORLW      2
0x0405	0x1903      	BTFSC      STATUS, 2
0x0406	0x2BF1      	GOTO       L_Lcd_Chr7
0x0407	0x0848      	MOVF       FARG_Lcd_Chr_row, 0
0x0408	0x3A03      	XORLW      3
0x0409	0x1903      	BTFSC      STATUS, 2
0x040A	0x2BF4      	GOTO       L_Lcd_Chr8
0x040B	0x0848      	MOVF       FARG_Lcd_Chr_row, 0
0x040C	0x3A04      	XORLW      4
0x040D	0x1903      	BTFSC      STATUS, 2
0x040E	0x2BF7      	GOTO       L_Lcd_Chr9
0x040F	0x2BFA      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x0410	0x0349      	DECF       FARG_Lcd_Chr_column, 0
0x0411	0x00F0      	MOVWF      R0
0x0412	0x0848      	MOVF       FARG_Lcd_Chr_row, 0
0x0413	0x07F0      	ADDWF      R0, 1
0x0414	0x0870      	MOVF       R0, 0
0x0415	0x00C8      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x0416	0x143C      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x0417	0x0870      	MOVF       R0, 0
0x0418	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x0419	0x2090      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x041A	0x1683      	BSF        STATUS, 5
0x041B	0x103C      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
